card_id,target
C_ID_0ab67a22ab,-0.42567056
C_ID_130fd0cbdd,-0.37367082
C_ID_b709037bc5,-0.2122103
C_ID_d27d835a9f,-0.25928205
C_ID_2b5e3df5c2,-0.42567056
C_ID_5814b4f13c,-0.37325567
C_ID_a1b3c75277,-0.28753608
C_ID_f7cada36d3,-0.3321098
C_ID_9d2bc8dfc4,-0.42567056
C_ID_6d8dba8475,-0.3875156
C_ID_4859ac9ed5,-0.3833488
C_ID_0e281e8ad6,-0.34531796
C_ID_8375dfdaa2,-0.38382694
C_ID_79d149c008,-0.42567056
C_ID_7f1041e8e1,-0.38971403
C_ID_f72513589e,-0.29165393
C_ID_a7f2d6984e,-0.2549004
C_ID_15489b42d3,-0.41256702
C_ID_e457bbd71d,-0.3349998
C_ID_3f74e10c7e,-0.37131932
C_ID_48243da9c4,-0.37496886
C_ID_7ea1fcf117,-0.42567056
C_ID_22e4a47c72,-0.40417314
C_ID_5d30729184,-0.39567977
C_ID_b54cfad8b2,-0.36160794
C_ID_4b82e26faa,-0.33012193
C_ID_60a453531a,-0.42096168
C_ID_0c9315feec,-0.3046329
C_ID_1e28804d36,-0.32408404
C_ID_68de79f7e2,-0.37306377
C_ID_78dedf0d70,-0.41596952
C_ID_83e740197f,-0.1959577
C_ID_e6340286bd,-0.39383602
C_ID_5005a6ad0e,-0.37891752
C_ID_b00860b6a5,-0.394875
C_ID_c595ba6d92,-0.114563346
C_ID_09ad76147d,-0.40505835
C_ID_041f478878,-0.3990446
C_ID_8eaa79db4f,-0.42567056
C_ID_74ff4fdd9d,-0.29817164
C_ID_2558bddd83,-0.32867044
C_ID_5077e2007a,-0.33350638
C_ID_66715f7d2b,-0.4235161
C_ID_f27972fa70,-0.42293596
C_ID_8f62bd5ac0,-0.42567056
C_ID_40a2412bae,-0.20282619
C_ID_57940f34ad,-0.42177144
C_ID_8f9dc072c4,-0.42567056
C_ID_11ca664f8c,-0.36314335
C_ID_50ad1cb064,-0.39475253
C_ID_e9771fd0b3,-0.36623615
C_ID_df2ae73120,-0.40156677
C_ID_fddf997091,-0.38241726
C_ID_8202301cc0,-0.33213994
C_ID_4828164a6e,-0.39646122
C_ID_4154bc963b,-0.3758463
C_ID_0f68113888,-0.35233355
C_ID_f9c5ec1112,-0.41496018
C_ID_59406e1778,-0.40262192
C_ID_9119618513,-0.42567056
C_ID_c37f1dacc3,-0.40037888
C_ID_06a7a6f70d,-0.37269697
C_ID_4ef8177b42,-0.34341595
C_ID_f7453d5126,-0.40129372
C_ID_038b1f5193,-0.40682364
C_ID_7b3f35325f,-0.3949587
C_ID_e3315cf124,-0.36597326
C_ID_5a3419552f,-0.3350005
C_ID_17cb2f55f2,-0.25285923
C_ID_bfbffbec95,-0.2353936
C_ID_812e419644,-0.4059522
C_ID_ac88d17815,-0.31957275
C_ID_562a791678,-0.42567056
C_ID_a2e5f3b899,-0.4040219
C_ID_5a66e302ea,-0.32487106
C_ID_215dd2acfd,-0.36464694
C_ID_ef5198fe59,-0.2853009
C_ID_751e3800a5,-0.34536034
C_ID_fa6b4db855,-0.27736443
C_ID_771d1cb4c1,-0.42567056
C_ID_338bed6617,-0.42567056
C_ID_d580357116,-0.42567056
C_ID_ba0303353c,-0.26152298
C_ID_348cbde97c,-0.41374084
C_ID_1120541741,-0.4086723
C_ID_b320fc81e5,-0.42567056
C_ID_89c020292e,-0.29960525
C_ID_e1dbc78eda,-0.31569648
C_ID_a266b0afb1,-0.394875
C_ID_690962095c,-0.42567056
C_ID_b75c4e1c94,-0.341749
C_ID_df503a36ae,-0.36010623
C_ID_00b966c727,-0.42567056
C_ID_af9e0d2367,-0.31830856
C_ID_a9935875b9,-0.2778003
C_ID_5078eaf301,-0.40762284
C_ID_69800fbc34,-0.38117686
C_ID_2b8decb6a3,-0.34719133
C_ID_2326cc45b0,-0.36046186
C_ID_a693c8ab8c,-0.40344226
C_ID_931670b20c,-0.31696683
C_ID_f9acbb44b5,-0.42567056
C_ID_403d457c52,-0.42567056
C_ID_d5467ab0b6,-0.35244805
C_ID_ca39dff1d6,-0.2918769
C_ID_2a122c5394,-0.405821
C_ID_38a83f816f,-0.3904398
C_ID_aed043274d,-0.39974466
C_ID_97c1de0a4c,-0.35875675
C_ID_6302a73978,-0.38409576
C_ID_13aa77acc7,-0.42567056
C_ID_8ea1ccd74c,-0.37066433
C_ID_f8dd617397,-0.39988804
C_ID_18abe17a50,-0.41596952
C_ID_ca9bf15ecf,-0.3612796
C_ID_ffbb1f9527,-0.33484635
C_ID_9e30b550ed,-0.42567056
C_ID_ca321cca06,-0.42293596
C_ID_12ee8ab17a,-0.35870805
C_ID_d543e00469,-0.341451
C_ID_91e960d08f,-0.33982906
C_ID_876bf4bea6,-0.42567056
C_ID_bca9fd7a34,-0.32106313
C_ID_ce489f86d1,-0.4218628
C_ID_a2f1f4964d,-0.3637971
C_ID_c5526b4a82,-0.16398063
C_ID_a51d58a5ef,-0.4178968
C_ID_2ea4c3f269,-0.29587883
C_ID_0ad663712d,-0.40262192
C_ID_9f205b643c,-0.3198673
C_ID_a23d5b907f,-0.42567056
C_ID_fce231c8a3,-0.34375596
C_ID_fd3c643078,-0.32505673
C_ID_0aaa962d5e,-0.40262192
C_ID_51c466eeba,-0.42567056
C_ID_4cf0a6c713,-0.38345224
C_ID_dac6ff5b70,-0.42567056
C_ID_84d7bf1269,-0.42567056
C_ID_e1e8acdab6,-0.3221563
C_ID_4ab54b988f,-0.30362198
C_ID_45e2cac501,-0.42567056
C_ID_c55808f402,-0.32665652
C_ID_c26381a58e,-0.354789
C_ID_6c6fc27f19,-0.35613185
C_ID_4c2682fb80,-0.41481188
C_ID_79713b508a,-0.36722547
C_ID_77a9133536,-0.42567056
C_ID_764456eb02,-0.3728513
C_ID_9189dadc72,-0.25791913
C_ID_f1c0aa6f3c,-0.40033358
C_ID_0763171db6,-0.32888666
C_ID_c554360bfe,-0.42567056
C_ID_cfb87f52ae,-0.25325036
C_ID_d99a6ea9e0,-0.34803554
C_ID_7fa0d03279,-0.32942715
C_ID_1571a674c8,-0.40404522
C_ID_87c16e5496,-0.35377046
C_ID_e0b7951237,-0.406784
C_ID_90c74fe7b4,-0.4130051
C_ID_7ce9c02b76,-0.40448976
C_ID_83435bac3d,-0.386937
C_ID_439720c321,-0.33422318
C_ID_10a8a42d77,-0.42567056
C_ID_a485f8a1a5,-0.42567056
C_ID_0defe22c13,-0.37904805
C_ID_95943569e9,-0.3245953
C_ID_be3c295747,-0.42567056
C_ID_f9bd6c67b0,-0.38195348
C_ID_4b2514ee32,-0.42567056
C_ID_689b430d0b,-0.39750114
C_ID_5ac4488f3c,-0.42518952
C_ID_4bf0426f57,-0.2788629
C_ID_88cb2d5ac7,-0.33054334
C_ID_9c5220f864,-0.3647342
C_ID_6bb9e252f4,-0.42491356
C_ID_8ae58e7880,-0.26795352
C_ID_619082bf7d,-0.42567056
C_ID_ba95ae9113,-0.36499053
C_ID_fdfe6133db,-0.35539055
C_ID_1a5c4864c0,-0.394875
C_ID_7a66376702,-0.42567056
C_ID_325049a5b3,-0.28381997
C_ID_5c3a6a254b,-0.37297338
C_ID_768a62fd67,-0.33625942
C_ID_8280ac022c,-0.29854852
C_ID_0621c41948,-0.41722077
C_ID_c97d368d54,-0.42567056
C_ID_a69568da79,-0.34944677
C_ID_3fc03e96d3,-0.2716099
C_ID_79f510402a,-0.42567056
C_ID_d0e20268c6,-0.42567056
C_ID_237bc2b6bc,-0.40578875
C_ID_738e8c6ad4,-0.42567056
C_ID_c5b913140b,-0.42567056
C_ID_dce9ae5c83,-0.394875
C_ID_ed8c83ed3b,-0.42567056
C_ID_fb28b161c5,-0.24304049
C_ID_94300ba829,-0.42567056
C_ID_29bb0bb987,-0.42567056
C_ID_eaf9218e7b,-0.39060494
C_ID_f6e7db3422,-0.38526922
C_ID_dbff82eb68,-0.34370434
C_ID_1d5864081b,-0.42567056
