,card_id
0,C_ID_5037ff576e
1,C_ID_48fb13e70f
2,C_ID_fc8e41b9cf
3,C_ID_fc8e41b9cf
4,C_ID_fc8e41b9cf
5,C_ID_fc8e41b9cf
6,C_ID_fc8e41b9cf
7,C_ID_fc8e41b9cf
8,C_ID_fc8e41b9cf
9,C_ID_fc8e41b9cf
10,C_ID_fc8e41b9cf
11,C_ID_fc8e41b9cf
12,C_ID_fc8e41b9cf
13,C_ID_fc8e41b9cf
14,C_ID_fc8e41b9cf
15,C_ID_fc8e41b9cf
16,C_ID_fc8e41b9cf
17,C_ID_fc8e41b9cf
18,C_ID_fc8e41b9cf
19,C_ID_fc8e41b9cf
20,C_ID_4bed29d75c
21,C_ID_4bed29d75c
22,C_ID_4bed29d75c
23,C_ID_4bed29d75c
24,C_ID_4bed29d75c
25,C_ID_058b254a5b
26,C_ID_058b254a5b
27,C_ID_058b254a5b
28,C_ID_058b254a5b
29,C_ID_058b254a5b
30,C_ID_058b254a5b
31,C_ID_058b254a5b
32,C_ID_058b254a5b
33,C_ID_058b254a5b
34,C_ID_058b254a5b
35,C_ID_058b254a5b
36,C_ID_a9af70f52d
37,C_ID_b45d4d37b1
38,C_ID_b45d4d37b1
39,C_ID_b45d4d37b1
40,C_ID_b45d4d37b1
41,C_ID_b45d4d37b1
42,C_ID_198914cf94
43,C_ID_ad99f08d4c
44,C_ID_ad99f08d4c
45,C_ID_ad99f08d4c
46,C_ID_ad99f08d4c
47,C_ID_ad99f08d4c
48,C_ID_ad99f08d4c
49,C_ID_ad99f08d4c
50,C_ID_ad99f08d4c
51,C_ID_ad99f08d4c
52,C_ID_ad99f08d4c
53,C_ID_ad99f08d4c
54,C_ID_ad99f08d4c
55,C_ID_ad99f08d4c
56,C_ID_ad99f08d4c
57,C_ID_ad99f08d4c
58,C_ID_ad99f08d4c
59,C_ID_ad99f08d4c
60,C_ID_ad99f08d4c
61,C_ID_ad99f08d4c
62,C_ID_ad99f08d4c
63,C_ID_ad99f08d4c
64,C_ID_ad99f08d4c
65,C_ID_ad99f08d4c
66,C_ID_ad99f08d4c
67,C_ID_ad99f08d4c
68,C_ID_ad99f08d4c
69,C_ID_ad99f08d4c
70,C_ID_ad99f08d4c
71,C_ID_ad99f08d4c
72,C_ID_ad99f08d4c
73,C_ID_ad99f08d4c
74,C_ID_ad99f08d4c
75,C_ID_ad99f08d4c
76,C_ID_ad99f08d4c
77,C_ID_e5f5fcf6e7
78,C_ID_e5f5fcf6e7
79,C_ID_e5f5fcf6e7
80,C_ID_e5f5fcf6e7
81,C_ID_e5f5fcf6e7
82,C_ID_e5f5fcf6e7
83,C_ID_e5f5fcf6e7
84,C_ID_e5f5fcf6e7
85,C_ID_e5f5fcf6e7
86,C_ID_e5f5fcf6e7
87,C_ID_e5f5fcf6e7
88,C_ID_e5f5fcf6e7
89,C_ID_e5f5fcf6e7
90,C_ID_e5f5fcf6e7
91,C_ID_e5f5fcf6e7
92,C_ID_e5f5fcf6e7
93,C_ID_e5f5fcf6e7
94,C_ID_e5f5fcf6e7
95,C_ID_e5f5fcf6e7
96,C_ID_e5f5fcf6e7
97,C_ID_3df86e0089
98,C_ID_3df86e0089
99,C_ID_3df86e0089
100,C_ID_3df86e0089
101,C_ID_3df86e0089
102,C_ID_3df86e0089
103,C_ID_3df86e0089
104,C_ID_9deaeaf200
105,C_ID_8b076210e3
106,C_ID_8b076210e3
107,C_ID_8b076210e3
108,C_ID_8b076210e3
109,C_ID_8b076210e3
110,C_ID_8b076210e3
111,C_ID_8b076210e3
112,C_ID_8b076210e3
113,C_ID_8b076210e3
114,C_ID_8b076210e3
115,C_ID_90eb72061a
116,C_ID_90eb72061a
117,C_ID_bdf550bccd
118,C_ID_bdf550bccd
119,C_ID_bdf550bccd
120,C_ID_bdf550bccd
121,C_ID_bdf550bccd
122,C_ID_c6d389f6c4
123,C_ID_c6d389f6c4
124,C_ID_c6d389f6c4
125,C_ID_104b205261
126,C_ID_89f75e7d82
127,C_ID_89f75e7d82
128,C_ID_89f75e7d82
129,C_ID_89f75e7d82
