,card_id
0,C_ID_8186f3fcc1
1,C_ID_b9379a30ea
2,C_ID_e9120f535c
3,C_ID_65715cb80d
4,C_ID_ae77d244b6
5,C_ID_c4262c902e
6,C_ID_6a2c823e5f
7,C_ID_98e1cb10b6
8,C_ID_eb8175721a
9,C_ID_a2580006bf
10,C_ID_2e49ece8b1
11,C_ID_7efe2311b7
12,C_ID_bae3e3f87c
13,C_ID_e1844c986c
14,C_ID_237b80978f
15,C_ID_f96d46ff64
16,C_ID_005799985c
17,C_ID_962d44f420
18,C_ID_d93d15ab8e
19,C_ID_42d0ff3842
20,C_ID_404d0c0488
21,C_ID_5c99cb080c
22,C_ID_1dc14ac66a
23,C_ID_1e62ff489c
24,C_ID_2d8cf677c6
25,C_ID_b6f24b5e58
26,C_ID_c0120bdf0b
27,C_ID_19e7c999ad
28,C_ID_efc4226180
29,C_ID_4ae8415eae
30,C_ID_804f9606eb
31,C_ID_2fb29a568c
32,C_ID_9152499bc1
33,C_ID_5297dca7f5
34,C_ID_35af5edc5a
35,C_ID_ce58ebbf13
36,C_ID_bcda954211
37,C_ID_ba9f34429e
38,C_ID_f6dbdc4008
39,C_ID_5c3774c77b
40,C_ID_9ea5498975
41,C_ID_03e95ac152
42,C_ID_977e2572aa
43,C_ID_5526617082
44,C_ID_4bdb2cebcc
45,C_ID_6398d8edd9
46,C_ID_b9dd1f51ae
47,C_ID_852ed26419
48,C_ID_332dee8351
49,C_ID_4a97be79d1
50,C_ID_5b9c7f6a4b
51,C_ID_e4e3953771
52,C_ID_f1ffae6fb2
53,C_ID_a4ff911a5b
54,C_ID_2ecc8b9e3f
55,C_ID_5392e911ab
56,C_ID_769dba2ca3
57,C_ID_bc14f15959
58,C_ID_700c15a07d
59,C_ID_1c8a5b9d44
60,C_ID_1a34bc3f56
61,C_ID_26f05f2bb9
62,C_ID_3f6f12b341
63,C_ID_1f1639c704
64,C_ID_1b5e19c18b
65,C_ID_1b28c8af6b
66,C_ID_73320b23aa
67,C_ID_899c7d4063
68,C_ID_3d5de15fb6
69,C_ID_651c1f91c3
70,C_ID_3f7ba15ec2
71,C_ID_430213b426
72,C_ID_b76dfd2e9e
73,C_ID_6ef270acc0
74,C_ID_5a9b5d74ae
75,C_ID_14c671c101
76,C_ID_d208f465cc
77,C_ID_68483008f9
78,C_ID_b06c8306ad
79,C_ID_171fe37991
80,C_ID_8e2b8fdffc
81,C_ID_58a2f66cc1
82,C_ID_d9959b7077
83,C_ID_6e51b32a29
84,C_ID_47f1368f67
85,C_ID_2b4f991a8a
86,C_ID_454fc87623
87,C_ID_3d6c299ca3
88,C_ID_cc120d5b71
89,C_ID_e954ad8a0a
90,C_ID_9ca53fe568
91,C_ID_320c6a2886
92,C_ID_991cc40663
93,C_ID_a23a579858
94,C_ID_5391bff212
95,C_ID_43efadc57f
96,C_ID_f3ac378b83
97,C_ID_8fcd766e84
98,C_ID_767a6f8a5e
99,C_ID_84731aca13
100,C_ID_42d58614f1
101,C_ID_4b056c93e8
102,C_ID_ccba6a9c57
103,C_ID_3b6bc83289
104,C_ID_c0d8318488
105,C_ID_024f590483
106,C_ID_0d41261778
107,C_ID_c0b9a6bfdd
108,C_ID_f59cca7717
109,C_ID_e08af0eefd
110,C_ID_4880f36928
111,C_ID_533e6a4bf9
112,C_ID_b29a1156b4
113,C_ID_98f87f98f6
114,C_ID_0ba5b28f0e
115,C_ID_6cd799f476
116,C_ID_475ebc900a
117,C_ID_2dd54c3384
118,C_ID_561f0a4ec7
119,C_ID_c45c1d9315
120,C_ID_6f49c2d032
121,C_ID_77922a552d
122,C_ID_13d8151379
123,C_ID_83bcf8de65
124,C_ID_1d60cc0a95
125,C_ID_2154bc8967
126,C_ID_4e886a4cf0
127,C_ID_3f3a0021c6
128,C_ID_289da4e539
129,C_ID_9a52131cfb
130,C_ID_2f3d0432fe
131,C_ID_95de027b9d
132,C_ID_3d5137362b
133,C_ID_0a2a0697f5
134,C_ID_ec38c27833
135,C_ID_365e57087b
136,C_ID_b47dbae88f
137,C_ID_fe3406f644
138,C_ID_d845ae8662
139,C_ID_c78e8e2b93
140,C_ID_52de53062f
141,C_ID_b1979fcc7a
142,C_ID_186e804d3e
143,C_ID_1ce57d1f23
144,C_ID_8466708d94
145,C_ID_175861b383
146,C_ID_f7132b7eaa
147,C_ID_60ad9fe219
148,C_ID_765c7e7366
149,C_ID_e360566ab1
150,C_ID_4c8645194f
151,C_ID_7bb0b72e7c
152,C_ID_381c320c3e
153,C_ID_f1a5da572e
154,C_ID_1adf91285f
155,C_ID_b36712adfc
156,C_ID_86ab9d21cc
157,C_ID_1a0b1a2a92
158,C_ID_d12ebf0f37
159,C_ID_3c7d819983
160,C_ID_a21da11a50
161,C_ID_67fd81645f
162,C_ID_e094f5bf0c
163,C_ID_ccdd2479a5
164,C_ID_82c9a401f1
165,C_ID_0dabcb4e99
166,C_ID_1e1df9d81c
167,C_ID_9cd29d3bf7
168,C_ID_fb935e65a4
169,C_ID_87b9e13a58
170,C_ID_68d3bea6b4
171,C_ID_6987fbebce
172,C_ID_80e8a2c964
173,C_ID_6bba9a254a
174,C_ID_c8175a3cf7
175,C_ID_abe894a5af
176,C_ID_1547e87f61
177,C_ID_3cb420c86a
178,C_ID_692ca87764
179,C_ID_e2ef2b9b2c
180,C_ID_b2802fc19e
181,C_ID_31d8e69961
182,C_ID_37a6c74616
183,C_ID_f4adf354eb
184,C_ID_e9a5abfbfd
185,C_ID_775bd28f7b
186,C_ID_6f4ac80671
187,C_ID_cb6146ef47
188,C_ID_f316ea92ff
189,C_ID_d9d202cb1d
190,C_ID_192d08336e
191,C_ID_c18fae7ebc
192,C_ID_20facbf637
193,C_ID_2e9854d115
194,C_ID_bbc4036af2
195,C_ID_0029d52418
196,C_ID_c57c6ab8e0
197,C_ID_6a0509648d
198,C_ID_71aeb70cf4
199,C_ID_f643db80f8
200,C_ID_a7895d5fd4
201,C_ID_df70bf5fbb
202,C_ID_1179c6213d
203,C_ID_c4fd015004
204,C_ID_c5f26d1965
205,C_ID_645dc141cf
206,C_ID_8cec5bf326
207,C_ID_ad8c8e79e2
208,C_ID_95eb023242
209,C_ID_25ed4e5c34
210,C_ID_d67f2aaacc
211,C_ID_80578b263e
212,C_ID_08266c1c3d
213,C_ID_c5f490f198
214,C_ID_b6f7db5880
215,C_ID_3e35c68b54
216,C_ID_fbb7f78728
217,C_ID_acd6e5b041
218,C_ID_ae23cf351b
219,C_ID_a50e700395
220,C_ID_fe7fd930d7
221,C_ID_e071075f5a
222,C_ID_ef154b08e9
223,C_ID_4b6a7b7aaa
224,C_ID_aaf39aa401
225,C_ID_b12963ffb9
226,C_ID_ef6b20e6be
227,C_ID_3bd64ddf77
228,C_ID_9acafdf32d
229,C_ID_a864cf9cd4
230,C_ID_b60363ccae
231,C_ID_768e3cec70
232,C_ID_9e304deea6
233,C_ID_df9e0dd4c3
234,C_ID_3d61bbf170
235,C_ID_bebec110cf
236,C_ID_490ec51e1e
237,C_ID_877f99f76a
238,C_ID_bf1d9731e2
239,C_ID_65f65f7481
240,C_ID_7b15b75c50
241,C_ID_41e3e54a13
242,C_ID_c9f2a37c12
243,C_ID_e1a0daa6dd
244,C_ID_09afb587ed
245,C_ID_eaa7a7961d
246,C_ID_e04497f7e5
247,C_ID_bc9b015de6
248,C_ID_c025d5f8a0
249,C_ID_dbedcfb5c4
250,C_ID_cbd6a082f6
251,C_ID_40d25a6248
252,C_ID_f4164ad715
253,C_ID_a55c6bcf6a
